"Time_ms";"MsgProc";"StateAfter";"MsgClass";"MsgNumber";"Var1";"Var2";"Var3";"Var4";"Var5";"Var6";"Var7";"Var8";"TimeString";"MsgText";"PLC"
44951473070,6481;2;1;1;5;;;;;;;;;"25/01/2023 11:21:13";"";""
44951473151,6667;2;1;2;1;;;;;;;;;"25/01/2023 11:21:20";"";""
44951473151,6667;2;1;2;2;;;;;;;;;"25/01/2023 11:21:20";"";""
44951473151,6667;2;1;1;25;;;;;;;;;"25/01/2023 11:21:20";"";""
44951473151,6667;2;0;1;5;;;;;;;;;"25/01/2023 11:21:20";"";""
44951473163,2407;2;0;2;1;;;;;;;;;"25/01/2023 11:21:21";"";""
44951473163,2407;2;0;2;2;;;;;;;;;"25/01/2023 11:21:21";"";""
44951473163,2407;2;0;1;25;;;;;;;;;"25/01/2023 11:21:21";"";""
44951473242,882;2;6;1;5;;;;;;;;;"25/01/2023 11:21:28";"";""
44951473242,882;2;6;1;25;;;;;;;;;"25/01/2023 11:21:28";"";""
44951477380,162;2;1;1;28;;;;;;;;;"25/01/2023 11:27:26";"";""
44951478056,6898;2;0;1;28;;;;;;;;;"25/01/2023 11:28:24";"";""
44951479517,4653;2;1;1;5;;;;;;;;;"25/01/2023 11:30:30";"";""
44951479544,0741;2;6;1;28;;;;;;;;;"25/01/2023 11:30:33";"";""
44951479544,0741;2;3;1;5;;;;;;;;;"25/01/2023 11:30:33";"";""
44951479598,4954;2;1;2;1;;;;;;;;;"25/01/2023 11:30:37";"";""
44951479598,4954;2;1;2;2;;;;;;;;;"25/01/2023 11:30:37";"";""
44951479598,4954;2;1;1;25;;;;;;;;;"25/01/2023 11:30:37";"";""
44951479598,4954;2;2;1;5;;;;;;;;;"25/01/2023 11:30:37";"";""
44951479610,1157;2;0;2;1;;;;;;;;;"25/01/2023 11:30:38";"";""
44951479610,1157;2;0;2;2;;;;;;;;;"25/01/2023 11:30:38";"";""
44951479610,1157;2;0;1;25;;;;;;;;;"25/01/2023 11:30:38";"";""
"$RT_COUNT$";23;;;;;;;;;;;;;;;